trID,time,oldVer,newVer,#oldT,#newT,#oldA,#newA,tIns,tDel,aIns,aDel,aTypeAlt,keyAlt,aTabIns,aTabDel
34,rev_1.035,rev_1.034.sql,rev_1.035.sql,23,23,122,123,0,0,1,0,0,0,0,0
35,rev_1.036,rev_1.035.sql,rev_1.036.sql,23,23,123,123,0,0,0,0,3,0,0,0
36,rev_1.037,rev_1.036.sql,rev_1.037.sql,23,23,123,122,0,0,0,1,0,0,0,0
37,rev_1.038,rev_1.037.sql,rev_1.038.sql,23,23,122,123,0,0,1,0,0,0,0,0
38,rev_1.039,rev_1.038.sql,rev_1.039.sql,23,24,123,128,1,0,0,0,0,0,5,0
39,rev_1.040,rev_1.039.sql,rev_1.040.sql,24,24,128,129,0,0,1,0,0,0,0,0
40,rev_1.041,rev_1.040.sql,rev_1.041.sql,24,24,129,134,1,1,6,2,0,0,3,2
41,rev_1.042,rev_1.041.sql,rev_1.042.sql,24,24,134,134,0,0,0,0,0,0,0,0
42,rev_1.043,rev_1.042.sql,rev_1.043.sql,24,25,134,138,1,0,0,0,1,0,4,0
43,rev_1.044,rev_1.043.sql,rev_1.044.sql,25,25,138,139,0,0,1,0,0,0,0,0
44,rev_1.045,rev_1.044.sql,rev_1.045.sql,25,27,139,143,2,0,0,0,0,0,4,0
45,rev_1.046,rev_1.045.sql,rev_1.046.sql,27,27,143,143,0,0,0,0,0,0,0,0
46,rev_1.047,rev_1.046.sql,rev_1.047.sql,27,27,143,143,0,0,0,0,0,0,0,0
47,rev_1.048,rev_1.047.sql,rev_1.048.sql,27,28,143,147,1,0,0,0,0,0,4,0
48,rev_1.049,rev_1.048.sql,rev_1.049.sql,28,28,147,148,0,0,1,0,0,0,0,0
49,rev_1.050,rev_1.049.sql,rev_1.050.sql,28,28,148,150,0,0,2,0,0,0,0,0
50,rev_1.051,rev_1.050.sql,rev_1.051.sql,28,28,150,150,0,0,0,0,1,0,0,0
51,rev_1.052,rev_1.051.sql,rev_1.052.sql,28,28,150,150,0,0,0,0,0,0,0,0
52,rev_1.053,rev_1.052.sql,rev_1.053.sql,28,30,150,162,2,0,1,0,0,0,11,0
53,rev_1.054,rev_1.053.sql,rev_1.054.sql,30,30,162,163,0,0,1,0,0,0,0,0
54,rev_1.055,rev_1.054.sql,rev_1.055.sql,30,30,163,165,0,0,2,0,0,0,0,0
55,rev_1.056,rev_1.055.sql,rev_1.056.sql,30,31,165,169,1,0,2,5,0,0,7,0
56,rev_1.057,rev_1.056.sql,rev_1.057.sql,31,31,169,170,0,0,1,0,0,0,0,0
57,rev_1.058,rev_1.057.sql,rev_1.058.sql,31,32,170,176,1,0,0,0,0,0,6,0
58,rev_1.059,rev_1.058.sql,rev_1.059.sql,32,32,176,177,0,0,1,0,0,0,0,0
59,rev_1.060,rev_1.059.sql,rev_1.060.sql,32,32,177,178,0,0,1,0,0,0,0,0
